"","6.15.21-CSD-2 +  6.28.2021-CSD-18","6.17.2021-CSD-4","6.27.22-CSD-3","6.28.2021-CSD-15","6.28.2021-CSD-16","6.28.2021-CSD-17","6.28.2021-CSD-21","6.28.2021-CSD-23","6.28.2021-CSD-9","6.28.22-CSD-1","6.29.22-CSD-10","6.29.22-CSD-4","7.2.2021-CSA-22"
"6.15.21-CSD-2 +  6.28.2021-CSD-18",0,0.90105247246848,0.845149850126926,1.17666585958093,1.21475207553215,1.07500089475295,0.96798653503147,0.966380361913137,1.34811936198726,0.980894387833757,1.02468128438086,1.25756213429694,1.26164642809946
"6.17.2021-CSD-4",0.90105247246848,0,0.889356309149007,1.22042761414406,1.1718581767469,0.994937469895838,0.942751267457635,1.00217511037245,1.32431756691563,0.920523593085299,1.02261611151847,0.855624790554413,1.4142135623731
"6.27.22-CSD-3",0.845149850126926,0.889356309149007,0,1.07567762767494,1.06654928570353,0.862726921869905,0.564707924169773,0.69268078167237,1.07274248976624,0.718658609912479,0.889408913890662,1.17314188495892,1.296049263103
"6.28.2021-CSD-15",1.17666585958093,1.22042761414406,1.07567762767494,0,1.18301348738427,1.2870411317108,1.05263681638228,1.09000862020976,1.16143661872548,1.25443157138553,1.1278684421115,1.4142135623731,1.4142135623731
"6.28.2021-CSD-16",1.21475207553215,1.1718581767469,1.06654928570353,1.18301348738427,0,0.908352538366023,1.09066766044746,1.17597766605466,1.04265481863593,1.11979160603375,1.25292066587872,1.21160789930065,1.4142135623731
"6.28.2021-CSD-17",1.07500089475295,0.994937469895838,0.862726921869905,1.2870411317108,0.908352538366023,0,0.919447300236048,0.905214964139229,1.05457769840959,0.604099740439947,1.08921377945278,1.14978821075789,1.32635903654646
"6.28.2021-CSD-21",0.96798653503147,0.942751267457635,0.564707924169773,1.05263681638228,1.09066766044746,0.919447300236048,0,0.786425047856188,0.958255265681392,0.860888284941176,1.07182064610336,1.04406152628686,1.20591176173474
"6.28.2021-CSD-23",0.966380361913137,1.00217511037245,0.69268078167237,1.09000862020976,1.17597766605466,0.905214964139229,0.786425047856188,0,1.10321215043232,0.808060893977714,1.0687793372237,1.17734571326884,1.08788943329379
"6.28.2021-CSD-9",1.34811936198726,1.32431756691563,1.07274248976624,1.16143661872548,1.04265481863593,1.05457769840959,0.958255265681392,1.10321215043232,0,1.17632651366326,1.33281401637664,1.14158684209046,1.05146222423827
"6.28.22-CSD-1",0.980894387833757,0.920523593085299,0.718658609912479,1.25443157138553,1.11979160603375,0.604099740439947,0.860888284941176,0.808060893977714,1.17632651366326,0,0.826989818248124,1.18983644836821,1.25867402068941
"6.29.22-CSD-10",1.02468128438086,1.02261611151847,0.889408913890662,1.1278684421115,1.25292066587872,1.08921377945278,1.07182064610336,1.0687793372237,1.33281401637664,0.826989818248124,0,1.35571700398842,1.4142135623731
"6.29.22-CSD-4",1.25756213429694,0.855624790554413,1.17314188495892,1.4142135623731,1.21160789930065,1.14978821075789,1.04406152628686,1.17734571326884,1.14158684209046,1.18983644836821,1.35571700398842,0,1.15862161674059
"7.2.2021-CSA-22",1.26164642809946,1.4142135623731,1.296049263103,1.4142135623731,1.4142135623731,1.32635903654646,1.20591176173474,1.08788943329379,1.05146222423827,1.25867402068941,1.4142135623731,1.15862161674059,0
